timestamp,row_number,error,raw_row
2025-11-13T07:37:13.367573,2,Missing UNIQUE_KEY,"{'\ufeffUNIQUE_KEY': '62822', 'PRODUCT_TITLE': 'Hanes &#174;  EcoSmart &#174;  - 5.2-Ounce Jersey Knit Sport Shirt. 054X', 'PRODUCT_DESCRIPTION': '|   5.2-ounce, 50/50 cotton/poly     Made with up to 5% recycled polyester  Tear-away label     Welt collar and cuffs     2-button placket     Pearlized buttons     Double-needle hem  Please note: This product is transitioning from tag-free labels to tear-away labels. Your order may contain a combination of both.    ', 'STYLE#': '054X', 'AVAILABLE_SIZES': 'Adult Sizes:  S-3XL', 'BRAND_LOGO_IMAGE': 'hanesheader.jpg', 'THUMBNAIL_IMAGE': '054XTN.jpg', 'COLOR_SWATCH_IMAGE': '054Xsw.jpg', 'PRODUCT_IMAGE': '054X.jpg', 'SPEC_SHEET': '054X_specsheet.pdf', 'PRICE_TEXT': 'Price applies to sizes S-XL', 'SUGGESTED_PRICE': '12.16', 'CATEGORY_NAME': 'Polos/Knits', 'SUBCATEGORY_NAME': 'Easy Care', 'COLOR_NAME': 'White', 'COLOR_SQUARE_IMAGE': 'HANES_white.gif', 'COLOR_PRODUCT_IMAGE': '054X_white_model_front_032017.jpg', 'COLOR_PRODUCT_IMAGE_THUMBNAIL': '054X_white_model_front_032017TN.jpg', 'SIZE': 'S', 'QTY': '497', 'PIECE_WEIGHT': '0.48', 'PIECE_PRICE': '18.08', 'DOZENS_PRICE': '8.08', 'CASE_PRICE': '6.08', 'PRICE_GROUP': 'NR', 'CASE_SIZE': '36', 'INVENTORY_KEY': '6282', 'SIZE_INDEX': '2', 'SANMAR_MAINFRAME_COLOR': 'White', 'MILL': 'Hanes', 'PRODUCT_STATUS': 'Regular', 'COMPANION_STYLES': '054X', 'MSRP': '12.16', 'MAP_PRICING': '', 'FRONT_MODEL_IMAGE_URL': 'https://cdnl.sanmar.com/imglib/mresjpg/2017/f3/054X_white_model_front_032017.jpg', 'BACK_MODEL_IMAGE': '054X_white_model_back_032017.jpg', 'FRONT_FLAT_IMAGE': '054X_White_Flat_Front_2009.jpg', 'BACK_FLAT_IMAGE': '054X_White_Flat_Back_2009.jpg', 'PRODUCT_MEASUREMENTS': '054X_productmeasurement.pdf', 'PMS_COLOR': '', 'GTIN': '7.66E+11'}"
2025-11-13T07:37:13.368224,3,Missing UNIQUE_KEY,"{'\ufeffUNIQUE_KEY': '62823', 'PRODUCT_TITLE': 'Hanes &#174;  EcoSmart &#174;  - 5.2-Ounce Jersey Knit Sport Shirt. 054X', 'PRODUCT_DESCRIPTION': '|   5.2-ounce, 50/50 cotton/poly     Made with up to 5% recycled polyester  Tear-away label     Welt collar and cuffs     2-button placket     Pearlized buttons     Double-needle hem  Please note: This product is transitioning from tag-free labels to tear-away labels. Your order may contain a combination of both.    ', 'STYLE#': '054X', 'AVAILABLE_SIZES': 'Adult Sizes:  S-3XL', 'BRAND_LOGO_IMAGE': 'hanesheader.jpg', 'THUMBNAIL_IMAGE': '054XTN.jpg', 'COLOR_SWATCH_IMAGE': '054Xsw.jpg', 'PRODUCT_IMAGE': '054X.jpg', 'SPEC_SHEET': '054X_specsheet.pdf', 'PRICE_TEXT': 'Price applies to sizes S-XL', 'SUGGESTED_PRICE': '12.16', 'CATEGORY_NAME': 'Polos/Knits', 'SUBCATEGORY_NAME': 'Easy Care', 'COLOR_NAME': 'White', 'COLOR_SQUARE_IMAGE': 'HANES_white.gif', 'COLOR_PRODUCT_IMAGE': '054X_white_model_front_032017.jpg', 'COLOR_PRODUCT_IMAGE_THUMBNAIL': '054X_white_model_front_032017TN.jpg', 'SIZE': 'M', 'QTY': '979', 'PIECE_WEIGHT': '0.49', 'PIECE_PRICE': '28.08', 'DOZENS_PRICE': '8.08', 'CASE_PRICE': '6.08', 'PRICE_GROUP': 'NR', 'CASE_SIZE': '36', 'INVENTORY_KEY': '6282', 'SIZE_INDEX': '3', 'SANMAR_MAINFRAME_COLOR': 'White', 'MILL': 'Hanes', 'PRODUCT_STATUS': 'Regular', 'COMPANION_STYLES': '054X', 'MSRP': '12.16', 'MAP_PRICING': '', 'FRONT_MODEL_IMAGE_URL': 'https://cdnl.sanmar.com/imglib/mresjpg/2017/f3/054X_white_model_front_032017.jpg', 'BACK_MODEL_IMAGE': '054X_white_model_back_032017.jpg', 'FRONT_FLAT_IMAGE': '054X_White_Flat_Front_2009.jpg', 'BACK_FLAT_IMAGE': '054X_White_Flat_Back_2009.jpg', 'PRODUCT_MEASUREMENTS': '054X_productmeasurement.pdf', 'PMS_COLOR': '', 'GTIN': '7.66E+11'}"
2025-11-13T07:37:13.368537,4,Missing UNIQUE_KEY,"{'\ufeffUNIQUE_KEY': '62824', 'PRODUCT_TITLE': 'Hanes &#174;  EcoSmart &#174;  - 5.2-Ounce Jersey Knit Sport Shirt. 054X', 'PRODUCT_DESCRIPTION': '|   5.2-ounce, 50/50 cotton/poly     Made with up to 5% recycled polyester  Tear-away label     Welt collar and cuffs     2-button placket     Pearlized buttons     Double-needle hem  Please note: This product is transitioning from tag-free labels to tear-away labels. Your order may contain a combination of both.    ', 'STYLE#': '054X', 'AVAILABLE_SIZES': 'Adult Sizes:  S-3XL', 'BRAND_LOGO_IMAGE': 'hanesheader.jpg', 'THUMBNAIL_IMAGE': '054XTN.jpg', 'COLOR_SWATCH_IMAGE': '054Xsw.jpg', 'PRODUCT_IMAGE': '054X.jpg', 'SPEC_SHEET': '054X_specsheet.pdf', 'PRICE_TEXT': 'Price applies to sizes S-XL', 'SUGGESTED_PRICE': '12.16', 'CATEGORY_NAME': 'Polos/Knits', 'SUBCATEGORY_NAME': 'Easy Care', 'COLOR_NAME': 'White', 'COLOR_SQUARE_IMAGE': 'HANES_white.gif', 'COLOR_PRODUCT_IMAGE': '054X_white_model_front_032017.jpg', 'COLOR_PRODUCT_IMAGE_THUMBNAIL': '054X_white_model_front_032017TN.jpg', 'SIZE': 'L', 'QTY': '508', 'PIECE_WEIGHT': '0.53', 'PIECE_PRICE': '11', 'DOZENS_PRICE': '8.08', 'CASE_PRICE': '6.08', 'PRICE_GROUP': 'NR', 'CASE_SIZE': '36', 'INVENTORY_KEY': '6282', 'SIZE_INDEX': '4', 'SANMAR_MAINFRAME_COLOR': 'White', 'MILL': 'Hanes', 'PRODUCT_STATUS': 'Regular', 'COMPANION_STYLES': '054X', 'MSRP': '12.16', 'MAP_PRICING': '', 'FRONT_MODEL_IMAGE_URL': 'https://cdnl.sanmar.com/imglib/mresjpg/2017/f3/054X_white_model_front_032017.jpg', 'BACK_MODEL_IMAGE': '054X_white_model_back_032017.jpg', 'FRONT_FLAT_IMAGE': '054X_White_Flat_Front_2009.jpg', 'BACK_FLAT_IMAGE': '054X_White_Flat_Back_2009.jpg', 'PRODUCT_MEASUREMENTS': '054X_productmeasurement.pdf', 'PMS_COLOR': '', 'GTIN': '7.66E+11'}"
2025-11-13T07:37:13.368803,5,Missing UNIQUE_KEY,"{'\ufeffUNIQUE_KEY': '62825', 'PRODUCT_TITLE': 'Hanes &#174;  EcoSmart &#174;  - 5.2-Ounce Jersey Knit Sport Shirt. 054X', 'PRODUCT_DESCRIPTION': '|   5.2-ounce, 50/50 cotton/poly     Made with up to 5% recycled polyester  Tear-away label     Welt collar and cuffs     2-button placket     Pearlized buttons     Double-needle hem  Please note: This product is transitioning from tag-free labels to tear-away labels. Your order may contain a combination of both.    ', 'STYLE#': '054X', 'AVAILABLE_SIZES': 'Adult Sizes:  S-3XL', 'BRAND_LOGO_IMAGE': 'hanesheader.jpg', 'THUMBNAIL_IMAGE': '054XTN.jpg', 'COLOR_SWATCH_IMAGE': '054Xsw.jpg', 'PRODUCT_IMAGE': '054X.jpg', 'SPEC_SHEET': '054X_specsheet.pdf', 'PRICE_TEXT': 'Price applies to sizes S-XL', 'SUGGESTED_PRICE': '12.16', 'CATEGORY_NAME': 'Polos/Knits', 'SUBCATEGORY_NAME': 'Easy Care', 'COLOR_NAME': 'White', 'COLOR_SQUARE_IMAGE': 'HANES_white.gif', 'COLOR_PRODUCT_IMAGE': '054X_white_model_front_032017.jpg', 'COLOR_PRODUCT_IMAGE_THUMBNAIL': '054X_white_model_front_032017TN.jpg', 'SIZE': 'XL', 'QTY': '405', 'PIECE_WEIGHT': '0.59', 'PIECE_PRICE': '8.08', 'DOZENS_PRICE': '8.08', 'CASE_PRICE': '6.08', 'PRICE_GROUP': 'NR', 'CASE_SIZE': '36', 'INVENTORY_KEY': '6282', 'SIZE_INDEX': '5', 'SANMAR_MAINFRAME_COLOR': 'White', 'MILL': 'Hanes', 'PRODUCT_STATUS': 'Regular', 'COMPANION_STYLES': '054X', 'MSRP': '12.16', 'MAP_PRICING': '', 'FRONT_MODEL_IMAGE_URL': 'https://cdnl.sanmar.com/imglib/mresjpg/2017/f3/054X_white_model_front_032017.jpg', 'BACK_MODEL_IMAGE': '054X_white_model_back_032017.jpg', 'FRONT_FLAT_IMAGE': '054X_White_Flat_Front_2009.jpg', 'BACK_FLAT_IMAGE': '054X_White_Flat_Back_2009.jpg', 'PRODUCT_MEASUREMENTS': '054X_productmeasurement.pdf', 'PMS_COLOR': '', 'GTIN': '7.66E+11'}"
2025-11-13T07:37:13.369099,6,Missing UNIQUE_KEY,"{'\ufeffUNIQUE_KEY': '62831', 'PRODUCT_TITLE': 'Hanes &#174;  EcoSmart &#174;  - 5.2-Ounce Jersey Knit Sport Shirt. 054X', 'PRODUCT_DESCRIPTION': '|   5.2-ounce, 50/50 cotton/poly     Made with up to 5% recycled polyester  Tear-away label     Welt collar and cuffs     2-button placket     Pearlized buttons     Double-needle hem  Please note: This product is transitioning from tag-free labels to tear-away labels. Your order may contain a combination of both.    ', 'STYLE#': '054X', 'AVAILABLE_SIZES': 'Adult Sizes:  S-3XL', 'BRAND_LOGO_IMAGE': 'hanesheader.jpg', 'THUMBNAIL_IMAGE': '054XTN.jpg', 'COLOR_SWATCH_IMAGE': '054Xsw.jpg', 'PRODUCT_IMAGE': '054X.jpg', 'SPEC_SHEET': '054X_specsheet.pdf', 'PRICE_TEXT': 'Price applies to sizes S-XL', 'SUGGESTED_PRICE': '12.16', 'CATEGORY_NAME': 'Polos/Knits', 'SUBCATEGORY_NAME': 'Easy Care', 'COLOR_NAME': 'White', 'COLOR_SQUARE_IMAGE': 'HANES_white.gif', 'COLOR_PRODUCT_IMAGE': '054X_white_model_front_032017.jpg', 'COLOR_PRODUCT_IMAGE_THUMBNAIL': '054X_white_model_front_032017TN.jpg', 'SIZE': '2XL', 'QTY': '234', 'PIECE_WEIGHT': '0.65', 'PIECE_PRICE': '9.81', 'DOZENS_PRICE': '9.81', 'CASE_PRICE': '7.81', 'PRICE_GROUP': 'NX', 'CASE_SIZE': '36', 'INVENTORY_KEY': '6283', 'SIZE_INDEX': '1', 'SANMAR_MAINFRAME_COLOR': 'White', 'MILL': 'Hanes', 'PRODUCT_STATUS': 'Regular', 'COMPANION_STYLES': '054X', 'MSRP': '15.62', 'MAP_PRICING': '', 'FRONT_MODEL_IMAGE_URL': 'https://cdnl.sanmar.com/imglib/mresjpg/2017/f3/054X_white_model_front_032017.jpg', 'BACK_MODEL_IMAGE': '054X_white_model_back_032017.jpg', 'FRONT_FLAT_IMAGE': '054X_White_Flat_Front_2009.jpg', 'BACK_FLAT_IMAGE': '054X_White_Flat_Back_2009.jpg', 'PRODUCT_MEASUREMENTS': '054X_productmeasurement.pdf', 'PMS_COLOR': '', 'GTIN': '7.66E+11'}"
2025-11-13T07:37:13.369590,7,Missing UNIQUE_KEY,"{'\ufeffUNIQUE_KEY': '62842', 'PRODUCT_TITLE': 'Hanes &#174;  EcoSmart &#174;  - 5.2-Ounce Jersey Knit Sport Shirt. 054X', 'PRODUCT_DESCRIPTION': '|   5.2-ounce, 50/50 cotton/poly     Made with up to 5% recycled polyester  Tear-away label     Welt collar and cuffs     2-button placket     Pearlized buttons     Double-needle hem  Please note: This product is transitioning from tag-free labels to tear-away labels. Your order may contain a combination of both.    ', 'STYLE#': '054X', 'AVAILABLE_SIZES': 'Adult Sizes:  S-3XL', 'BRAND_LOGO_IMAGE': 'hanesheader.jpg', 'THUMBNAIL_IMAGE': '054XTN.jpg', 'COLOR_SWATCH_IMAGE': '054Xsw.jpg', 'PRODUCT_IMAGE': '054X.jpg', 'SPEC_SHEET': '054X_specsheet.pdf', 'PRICE_TEXT': 'Price applies to sizes S-XL', 'SUGGESTED_PRICE': '12.16', 'CATEGORY_NAME': 'Polos/Knits', 'SUBCATEGORY_NAME': 'Easy Care', 'COLOR_NAME': 'White', 'COLOR_SQUARE_IMAGE': 'HANES_white.gif', 'COLOR_PRODUCT_IMAGE': '054X_white_model_front_032017.jpg', 'COLOR_PRODUCT_IMAGE_THUMBNAIL': '054X_white_model_front_032017TN.jpg', 'SIZE': '3XL', 'QTY': '132', 'PIECE_WEIGHT': '0.72', 'PIECE_PRICE': '10.44', 'DOZENS_PRICE': '10.44', 'CASE_PRICE': '8.44', 'PRICE_GROUP': 'NT', 'CASE_SIZE': '36', 'INVENTORY_KEY': '6284', 'SIZE_INDEX': '2', 'SANMAR_MAINFRAME_COLOR': 'White', 'MILL': 'Hanes', 'PRODUCT_STATUS': 'Regular', 'COMPANION_STYLES': '054X', 'MSRP': '16.88', 'MAP_PRICING': '', 'FRONT_MODEL_IMAGE_URL': 'https://cdnl.sanmar.com/imglib/mresjpg/2017/f3/054X_white_model_front_032017.jpg', 'BACK_MODEL_IMAGE': '054X_white_model_back_032017.jpg', 'FRONT_FLAT_IMAGE': '054X_White_Flat_Front_2009.jpg', 'BACK_FLAT_IMAGE': '054X_White_Flat_Back_2009.jpg', 'PRODUCT_MEASUREMENTS': '054X_productmeasurement.pdf', 'PMS_COLOR': '', 'GTIN': '7.66E+11'}"
2025-11-13T07:37:13.369887,8,Missing UNIQUE_KEY,"{'\ufeffUNIQUE_KEY': '62872', 'PRODUCT_TITLE': 'Hanes &#174;  EcoSmart &#174;  - 5.2-Ounce Jersey Knit Sport Shirt. 054X', 'PRODUCT_DESCRIPTION': '|   5.2-ounce, 50/50 cotton/poly     Made with up to 5% recycled polyester  Tear-away label     Welt collar and cuffs     2-button placket     Pearlized buttons     Double-needle hem  Please note: This product is transitioning from tag-free labels to tear-away labels. Your order may contain a combination of both.    ', 'STYLE#': '054X', 'AVAILABLE_SIZES': 'Adult Sizes:  S-3XL', 'BRAND_LOGO_IMAGE': 'hanesheader.jpg', 'THUMBNAIL_IMAGE': '054XTN.jpg', 'COLOR_SWATCH_IMAGE': '054Xsw.jpg', 'PRODUCT_IMAGE': '054X.jpg', 'SPEC_SHEET': '054X_specsheet.pdf', 'PRICE_TEXT': 'Price applies to sizes S-XL', 'SUGGESTED_PRICE': '12.16', 'CATEGORY_NAME': 'Polos/Knits', 'SUBCATEGORY_NAME': 'Easy Care', 'COLOR_NAME': 'Ash', 'COLOR_SQUARE_IMAGE': 'HANES_ash.gif', 'COLOR_PRODUCT_IMAGE': '054X_ash_model_front_032017.jpg', 'COLOR_PRODUCT_IMAGE_THUMBNAIL': '054X_ash_model_front_032017TN.jpg', 'SIZE': 'S', 'QTY': '469', 'PIECE_WEIGHT': '0.48', 'PIECE_PRICE': '16.4', 'DOZENS_PRICE': '6.4', 'CASE_PRICE': '6.4', 'PRICE_GROUP': 'LR', 'CASE_SIZE': '36', 'INVENTORY_KEY': '6287', 'SIZE_INDEX': '2', 'SANMAR_MAINFRAME_COLOR': 'Ash', 'MILL': 'Hanes', 'PRODUCT_STATUS': 'Discontinued', 'COMPANION_STYLES': '054X', 'MSRP': '12.8', 'MAP_PRICING': '', 'FRONT_MODEL_IMAGE_URL': 'https://cdnl.sanmar.com/imglib/mresjpg/2017/f3/054X_ash_model_front_032017.jpg', 'BACK_MODEL_IMAGE': '054X_ash_model_back_032017.jpg', 'FRONT_FLAT_IMAGE': '054X_Ash_Flat_Front_2009.jpg', 'BACK_FLAT_IMAGE': '054X_Ash_Flat_Back_2009.jpg', 'PRODUCT_MEASUREMENTS': '054X_productmeasurement.pdf', 'PMS_COLOR': 'COOL GRAY 7C', 'GTIN': '7.66E+11'}"
2025-11-13T07:37:13.370180,9,Missing UNIQUE_KEY,"{'\ufeffUNIQUE_KEY': '62873', 'PRODUCT_TITLE': 'Hanes &#174;  EcoSmart &#174;  - 5.2-Ounce Jersey Knit Sport Shirt. 054X', 'PRODUCT_DESCRIPTION': '|   5.2-ounce, 50/50 cotton/poly     Made with up to 5% recycled polyester  Tear-away label     Welt collar and cuffs     2-button placket     Pearlized buttons     Double-needle hem  Please note: This product is transitioning from tag-free labels to tear-away labels. Your order may contain a combination of both.    ', 'STYLE#': '054X', 'AVAILABLE_SIZES': 'Adult Sizes:  S-3XL', 'BRAND_LOGO_IMAGE': 'hanesheader.jpg', 'THUMBNAIL_IMAGE': '054XTN.jpg', 'COLOR_SWATCH_IMAGE': '054Xsw.jpg', 'PRODUCT_IMAGE': '054X.jpg', 'SPEC_SHEET': '054X_specsheet.pdf', 'PRICE_TEXT': 'Price applies to sizes S-XL', 'SUGGESTED_PRICE': '12.16', 'CATEGORY_NAME': 'Polos/Knits', 'SUBCATEGORY_NAME': 'Easy Care', 'COLOR_NAME': 'Ash', 'COLOR_SQUARE_IMAGE': 'HANES_ash.gif', 'COLOR_PRODUCT_IMAGE': '054X_ash_model_front_032017.jpg', 'COLOR_PRODUCT_IMAGE_THUMBNAIL': '054X_ash_model_front_032017TN.jpg', 'SIZE': 'M', 'QTY': '0', 'PIECE_WEIGHT': '0.49', 'PIECE_PRICE': '26.4', 'DOZENS_PRICE': '6.4', 'CASE_PRICE': '6.4', 'PRICE_GROUP': 'LR', 'CASE_SIZE': '36', 'INVENTORY_KEY': '6287', 'SIZE_INDEX': '3', 'SANMAR_MAINFRAME_COLOR': 'Ash', 'MILL': 'Hanes', 'PRODUCT_STATUS': 'Discontinued', 'COMPANION_STYLES': '054X', 'MSRP': '12.8', 'MAP_PRICING': '', 'FRONT_MODEL_IMAGE_URL': 'https://cdnl.sanmar.com/imglib/mresjpg/2017/f3/054X_ash_model_front_032017.jpg', 'BACK_MODEL_IMAGE': '054X_ash_model_back_032017.jpg', 'FRONT_FLAT_IMAGE': '054X_Ash_Flat_Front_2009.jpg', 'BACK_FLAT_IMAGE': '054X_Ash_Flat_Back_2009.jpg', 'PRODUCT_MEASUREMENTS': '054X_productmeasurement.pdf', 'PMS_COLOR': 'COOL GRAY 7C', 'GTIN': '7.66E+11'}"
2025-11-13T07:37:13.371125,10,Missing UNIQUE_KEY,"{'\ufeffUNIQUE_KEY': '62874', 'PRODUCT_TITLE': 'Hanes &#174;  EcoSmart &#174;  - 5.2-Ounce Jersey Knit Sport Shirt. 054X', 'PRODUCT_DESCRIPTION': '|   5.2-ounce, 50/50 cotton/poly     Made with up to 5% recycled polyester  Tear-away label     Welt collar and cuffs     2-button placket     Pearlized buttons     Double-needle hem  Please note: This product is transitioning from tag-free labels to tear-away labels. Your order may contain a combination of both.    ', 'STYLE#': '054X', 'AVAILABLE_SIZES': 'Adult Sizes:  S-3XL', 'BRAND_LOGO_IMAGE': 'hanesheader.jpg', 'THUMBNAIL_IMAGE': '054XTN.jpg', 'COLOR_SWATCH_IMAGE': '054Xsw.jpg', 'PRODUCT_IMAGE': '054X.jpg', 'SPEC_SHEET': '054X_specsheet.pdf', 'PRICE_TEXT': 'Price applies to sizes S-XL', 'SUGGESTED_PRICE': '12.16', 'CATEGORY_NAME': 'Polos/Knits', 'SUBCATEGORY_NAME': 'Easy Care', 'COLOR_NAME': 'Ash', 'COLOR_SQUARE_IMAGE': 'HANES_ash.gif', 'COLOR_PRODUCT_IMAGE': '054X_ash_model_front_032017.jpg', 'COLOR_PRODUCT_IMAGE_THUMBNAIL': '054X_ash_model_front_032017TN.jpg', 'SIZE': 'L', 'QTY': '0', 'PIECE_WEIGHT': '0.53', 'PIECE_PRICE': '23', 'DOZENS_PRICE': '6.4', 'CASE_PRICE': '6.4', 'PRICE_GROUP': 'LR', 'CASE_SIZE': '36', 'INVENTORY_KEY': '6287', 'SIZE_INDEX': '4', 'SANMAR_MAINFRAME_COLOR': 'Ash', 'MILL': 'Hanes', 'PRODUCT_STATUS': 'Discontinued', 'COMPANION_STYLES': '054X', 'MSRP': '12.8', 'MAP_PRICING': '', 'FRONT_MODEL_IMAGE_URL': 'https://cdnl.sanmar.com/imglib/mresjpg/2017/f3/054X_ash_model_front_032017.jpg', 'BACK_MODEL_IMAGE': '054X_ash_model_back_032017.jpg', 'FRONT_FLAT_IMAGE': '054X_Ash_Flat_Front_2009.jpg', 'BACK_FLAT_IMAGE': '054X_Ash_Flat_Back_2009.jpg', 'PRODUCT_MEASUREMENTS': '054X_productmeasurement.pdf', 'PMS_COLOR': 'COOL GRAY 7C', 'GTIN': '7.66E+11'}"
2025-11-13T07:37:13.371727,11,Missing UNIQUE_KEY,"{'\ufeffUNIQUE_KEY': '62875', 'PRODUCT_TITLE': 'Hanes &#174;  EcoSmart &#174;  - 5.2-Ounce Jersey Knit Sport Shirt. 054X', 'PRODUCT_DESCRIPTION': '|   5.2-ounce, 50/50 cotton/poly     Made with up to 5% recycled polyester  Tear-away label     Welt collar and cuffs     2-button placket     Pearlized buttons     Double-needle hem  Please note: This product is transitioning from tag-free labels to tear-away labels. Your order may contain a combination of both.    ', 'STYLE#': '054X', 'AVAILABLE_SIZES': 'Adult Sizes:  S-3XL', 'BRAND_LOGO_IMAGE': 'hanesheader.jpg', 'THUMBNAIL_IMAGE': '054XTN.jpg', 'COLOR_SWATCH_IMAGE': '054Xsw.jpg', 'PRODUCT_IMAGE': '054X.jpg', 'SPEC_SHEET': '054X_specsheet.pdf', 'PRICE_TEXT': 'Price applies to sizes S-XL', 'SUGGESTED_PRICE': '12.16', 'CATEGORY_NAME': 'Polos/Knits', 'SUBCATEGORY_NAME': 'Easy Care', 'COLOR_NAME': 'Ash', 'COLOR_SQUARE_IMAGE': 'HANES_ash.gif', 'COLOR_PRODUCT_IMAGE': '054X_ash_model_front_032017.jpg', 'COLOR_PRODUCT_IMAGE_THUMBNAIL': '054X_ash_model_front_032017TN.jpg', 'SIZE': 'XL', 'QTY': '0', 'PIECE_WEIGHT': '0.59', 'PIECE_PRICE': '1236.4', 'DOZENS_PRICE': '6.4', 'CASE_PRICE': '6.4', 'PRICE_GROUP': 'LR', 'CASE_SIZE': '36', 'INVENTORY_KEY': '6287', 'SIZE_INDEX': '5', 'SANMAR_MAINFRAME_COLOR': 'Ash', 'MILL': 'Hanes', 'PRODUCT_STATUS': 'Discontinued', 'COMPANION_STYLES': '054X', 'MSRP': '12.8', 'MAP_PRICING': '', 'FRONT_MODEL_IMAGE_URL': 'https://cdnl.sanmar.com/imglib/mresjpg/2017/f3/054X_ash_model_front_032017.jpg', 'BACK_MODEL_IMAGE': '054X_ash_model_back_032017.jpg', 'FRONT_FLAT_IMAGE': '054X_Ash_Flat_Front_2009.jpg', 'BACK_FLAT_IMAGE': '054X_Ash_Flat_Back_2009.jpg', 'PRODUCT_MEASUREMENTS': '054X_productmeasurement.pdf', 'PMS_COLOR': 'COOL GRAY 7C', 'GTIN': '7.66E+11'}"
